1,"[(18.0703892, 59.3482028), (18.0704075, 59.34815), (18.0704974, 59.3480168), (18.0706206, 59.3479099), (18.0707537, 59.3478216), (18.0711111, 59.3475763)]"
2,"[(18.0701545, 59.3482358), (18.0702146, 59.3481045), (18.0703943, 59.3479072), (18.0704659, 59.3478442), (18.07053139977366, 59.347801087676324), (18.0709014, 59.347556)]"
10,"[(18.071485599639658, 59.34707636091046), (18.071724710062803, 59.34714639498588)]"
6,"[(18.071641858394948, 59.34582904643812), (18.071727953796618, 59.34597089886182), (18.071708683030113, 59.34611980933026), (18.071768247217488, 59.34622842637782), (18.071938180340286, 59.3464771944545), (18.07196241109517, 59.34653146887196)]"
7,"[(18.072377405919106, 59.346451156508586), (18.07201914484834, 59.34600004538037), (18.07202352456803, 59.3457950744988), (18.071905254393894, 59.34576260817649)]"
11,"[(18.071641858394948, 59.34582904643812), (18.071905254393894, 59.34576260817649)]"
3,"[(18.071485599639658, 59.34707636091046), (18.0714754, 59.3470878), (18.0712788, 59.3472872), (18.0710567, 59.3474532), (18.0709014, 59.347556)]"
4,"[(18.071724710062803, 59.34714639498588), (18.0717223, 59.3471491), (18.0715747, 59.3472646), (18.0711111, 59.3475763)]"
5,"[(18.071485599639658, 59.34707636091046), (18.0715939, 59.3469549), (18.0717892, 59.3467357), (18.0719359, 59.3465666), (18.071962411095175, 59.34653146887196)]"
9,"[(18.071724710062803, 59.34714639498588), (18.071875281663463, 59.34700817253316), (18.071967091181996, 59.34694373770121), (18.072393601708725, 59.34685284250352)]"
8,"[(18.072393601708725, 59.34685284250352), (18.072520001421687, 59.34681736547734), (18.072549090931016, 59.34674372178399), (18.072377405919106, 59.346451156508586)]"
12,"[(18.0703892, 59.3482028), (18.070308, 59.3485997)]"
13,"[(18.0700513, 59.3486851), (18.070062, 59.3486703), (18.0701041, 59.3485357), (18.0701319, 59.3483265), (18.0701545, 59.3482358)]"
